kappa_thr    n_expected   sigma_explicit_MC  relerr(Var)  Nreal     
5.623e-05    3.3847e+03   1.082465e-01       0.0121       50000     
1.000e-04    1.8487e+03   1.080198e-01       0.0127       50000     
1.778e-04    1.0005e+03   1.096180e-01       0.0139       50000     
3.162e-04    5.3537e+02   1.089149e-01       0.0144       50000     
5.623e-04    2.8205e+02   1.084634e-01       0.0115       50000     
1.000e-03    1.4578e+02   1.073418e-01       0.0119       50000     
1.778e-03    7.3580e+01   1.064441e-01       0.0122       50000     
3.162e-03    3.6046e+01   1.061730e-01       0.0133       50000     
5.623e-03    1.7026e+01   1.036347e-01       0.0128       50000     
1.000e-02    7.6887e+00   1.029131e-01       0.0143       50000     
1.778e-02    3.2859e+00   9.825615e-02       0.0149       50000     
3.162e-02    1.3095e+00   9.277021e-02       0.0160       50000     
5.623e-02    4.7659e-01   8.450305e-02       0.0185       50000     
1.000e-01    1.5297e-01   7.121848e-02       0.0226       50000     
1.778e-01    4.1066e-02   5.927930e-02       0.0307       73054     
3.162e-01    8.4756e-03   4.186612e-02       0.0241       353957    
5.623e-01    1.1716e-03   2.524495e-02       0.0222       2560684   
1.000e+00    8.6739e-05   1.157181e-02       0.0525       5000000   
1.778e+00    2.3894e-06   2.514980e-03       0.3339       5000000   
3.162e+00    1.3963e-08   0.000000e+00       0.0000       5000000   
5.623e+00    7.5562e-12   0.000000e+00       0.0000       5000000   
1.000e+01    1.0957e-16   0.000000e+00       0.0000       5000000   
1.778e+01    5.9406e-24   0.000000e+00       0.0000       5000000   
3.162e+01    8.9300e-39   0.000000e+00       0.0000       5000000   
5.623e+01    6.6414e-93   0.000000e+00       0.0000       5000000   
1.000e+02    5.2995e-250  0.000000e+00       0.0000       5000000   
1.778e+02    0.0000e+00   0.000000e+00       -            -         
3.162e+02    0.0000e+00   0.000000e+00       -            -         
5.623e+02    0.0000e+00   0.000000e+00       -            -         
1.000e+03    0.0000e+00   0.000000e+00       -            -         

wrote playground/sigma_explicit_vs_kthr_zs10.txt
