# C2 = 1.46740110
# z   chi[kpc]   P(z)   M2   M3   M4
0.095313 4.14252681e+05 2.77108555e-15 1.62511922e-05 5.14785412e+00 1.73997449e+06
0.099591 4.32385925e+05 2.76113733e-15 1.84597543e-05 6.10280527e+00 2.15288193e+06
0.104062 4.51290257e+05 2.75074804e-15 2.09641952e-05 7.23303508e+00 2.66294363e+06
0.108733 4.70996303e+05 2.73990011e-15 2.38033389e-05 8.57026126e+00 3.29277222e+06
0.113614 4.91535688e+05 2.72857550e-15 2.70209482e-05 1.01518310e+01 4.07017021e+06
0.118713 5.12941055e+05 2.71675571e-15 3.06663239e-05 1.20216939e+01 5.02929964e+06
0.124042 5.35246069e+05 2.70442179e-15 3.47949709e-05 1.42315360e+01 6.21210893e+06
0.129610 5.58485422e+05 2.69155437e-15 3.94693375e-05 1.68421016e+01 7.67007176e+06
0.135428 5.82694840e+05 2.67813371e-15 4.47596351e-05 1.99247307e+01 9.46630383e+06
0.141507 6.07911076e+05 2.66413966e-15 5.07447456e-05 2.35631456e+01 1.16781366e+07
0.147859 6.34171908e+05 2.64955180e-15 5.75132241e-05 2.78555246e+01 1.44002427e+07
0.154496 6.61516123e+05 2.63434939e-15 6.51644047e-05 3.29169039e+01 1.77484267e+07
0.161431 6.89983512e+05 2.61851147e-15 7.38096175e-05 3.88819582e+01 2.18642159e+07
0.168677 7.19614836e+05 2.60201692e-15 8.35735257e-05 4.59082114e+01 2.69204119e+07
0.176249 7.50451804e+05 2.58484450e-15 9.45955905e-05 5.41797398e+01 3.31277953e+07
0.184160 7.82537043e+05 2.56697293e-15 1.07031673e-04 6.39114350e+01 4.07432073e+07
0.192427 8.15914042e+05 2.54838098e-15 1.21055781e-04 7.53539014e+01 5.00792763e+07
0.201064 8.50627119e+05 2.52904758e-15 1.36861966e-04 8.87990717e+01 6.15161028e+07
0.210090 8.86721335e+05 2.50895187e-15 1.54666387e-04 1.04586632e+02 7.55152690e+07
0.219520 9.24242457e+05 2.48807335e-15 1.74709529e-04 1.23111354e+02 9.26366037e+07
0.229374 9.63236845e+05 2.46639199e-15 1.97258598e-04 1.44831448e+02 1.13558199e+08
0.239670 1.00375138e+06 2.44388836e-15 2.22610094e-04 1.70278047e+02 1.39100258e+08
0.250428 1.04583335e+06 2.42054378e-15 2.51092548e-04 2.00065948e+02 1.70253438e+08
0.261669 1.08953034e+06 2.39634047e-15 2.83069440e-04 2.34905742e+02 2.08212450e+08
0.273415 1.13489009e+06 2.37126169e-15 3.18942277e-04 2.75617469e+02 2.54415786e+08
0.285688 1.18196035e+06 2.34529196e-15 3.59153838e-04 3.23145940e+02 3.10592554e+08
0.298511 1.23078874e+06 2.31841720e-15 4.04191558e-04 3.78577858e+02 3.78817535e+08
0.311911 1.28142252e+06 2.29062497e-15 4.54591036e-04 4.43160884e+02 4.61575680e+08
