z,sigma8,xi_min,alpha_hill,alpha_pareto,tail_event_count
1.0,0.87,8.886238162743407e-05,0.500663262242192,0.500663262242192,502861
1.0,0.87,0.00010299603658099899,0.5406139304367859,0.5406139304367859,502861
1.0,0.87,0.00011937766417144357,0.5874932387849833,0.5874932387849833,502861
1.0,0.87,0.00013836480680324593,0.643274777006828,0.643274777006828,502861
1.0,0.87,0.0001603718743751331,0.7107603270196474,0.7107603270196474,502861
1.0,0.87,0.00018587918911465635,0.7940652055194166,0.7940652055194166,502861
1.0,0.87,0.00021544346900318823,0.899490229117078,0.899490229117078,502861
1.0,0.87,0.0002497099786006541,1.0371946226741031,1.0371946226741031,502861
1.0,0.87,0.0002894266124716752,1.0997581293809706,1.0997581293809706,454207
1.0,0.87,0.00033546021859540435,1.1071290225298478,1.1071290225298478,388518
1.0,0.87,0.00038881551803080855,1.1151648973278852,1.1151648973278852,332144
1.0,0.87,0.0004506570337745473,1.1247002355277917,1.1247002355277917,283935
1.0,0.87,0.0005223345074266843,1.1345228905314937,1.1345228905314937,242428
1.0,0.87,0.0006054123584037269,1.1433182777651665,1.1433182777651665,206505
1.0,0.87,0.0007017038286703822,1.1511704030602532,1.1511704030602532,175544
1.0,0.87,0.0008133105582266928,1.1619557453708262,1.1619557453708262,149388
1.0,0.87,0.0009426684551178855,1.1716557458401171,1.1716557458401171,126794
1.0,0.87,0.001092600861117378,1.183788858044532,1.183788858044532,107665
1.0,0.87,0.0012663801734674022,1.19266890447914,1.19266890447914,91018
1.0,0.87,0.0014677992676220691,1.205401845703885,1.205401845703885,77071
1.0,0.87,0.0017012542798525892,1.220364479290132,1.220364479290132,65244
1.0,0.87,0.001971840556512642,1.235364071454551,1.235364071454551,55105
1.0,0.87,0.0022854638641349886,1.2479761458409115,1.2479761458409115,46344
1.0,0.87,0.0026489692876105267,1.2647096253282544,1.2647096253282544,39010
1.0,0.87,0.00307029062975785,1.2785782462353754,1.2785782462353754,32693
1.0,0.87,0.0035586235730509655,1.2958471675250014,1.2958471675250014,27407
1.0,0.87,0.004124626382901348,1.3097637587256412,1.3097637587256412,22856
1.0,0.87,0.00478065253300738,1.3327099047242674,1.3327099047242674,19135
1.0,0.87,0.005541020330009492,1.3540623559305114,1.3540623559305114,15941
1.0,0.87,0.006422325422229356,1.3711237673327352,1.3711237673327352,13202
1.0,0.87,0.007443803013251681,1.395251080362074,1.395251080362074,10953
1.0,0.87,0.008627747685955867,1.430832427076381,1.430832427076381,9121
1.0,0.87,0.01,1.4662225446141182,1.4662225446141182,7546
2.0,0.75,3.1622776601683795e-05,0.2596549600820276,0.2596549600820276,500849
2.0,0.75,3.665241237079626e-05,0.2700029555944429,0.2700029555944429,500849
2.0,0.75,4.248201698162608e-05,0.28120998054720947,0.28120998054720947,500849
2.0,0.75,4.9238826317067415e-05,0.2933876344274135,0.2933876344274135,500849
2.0,0.75,5.707031326057167e-05,0.3066677227686597,0.3066677227686597,500849
2.0,0.75,6.614740641230145e-05,0.3212070470627785,0.3212070470627785,500849
2.0,0.75,7.666822074546222e-05,0.33719362504420364,0.33719362504420364,500849
2.0,0.75,8.886238162743407e-05,0.35485486577891884,0.35485486577891884,500849
2.0,0.75,0.00010299603658099899,0.3744684558816872,0.3744684558816872,500849
2.0,0.75,0.00011937766417144357,0.39637706718041965,0.39637706718041965,500849
2.0,0.75,0.00013836480680324593,0.42100854812193156,0.42100854812193156,500849
2.0,0.75,0.0001603718743751331,0.4489041423486092,0.4489041423486092,500849
2.0,0.75,0.00018587918911465635,0.48075872174506457,0.48075872174506457,500849
2.0,0.75,0.00021544346900318823,0.5174794576786099,0.5174794576786099,500849
2.0,0.75,0.0002497099786006541,0.560273603953556,0.560273603953556,500849
2.0,0.75,0.0002894266124716752,0.6107837629696007,0.6107837629696007,500849
2.0,0.75,0.00033546021859540435,0.6713035693590018,0.6713035693590018,500849
2.0,0.75,0.00038881551803080855,0.7451357031200644,0.7451357031200644,500849
2.0,0.75,0.0004506570337745473,0.8372153501543137,0.8372153501543137,500849
2.0,0.75,0.0005223345074266843,0.9552611032186332,0.9552611032186332,500849
2.0,0.75,0.0006054123584037269,1.1120593282253344,1.1120593282253344,500849
2.0,0.75,0.0007017038286703822,1.1753252026036987,1.1753252026036987,445925
2.0,0.75,0.0008133105582266928,1.1871095618825351,1.1871095618825351,378334
2.0,0.75,0.0009426684551178855,1.1998371531265843,1.1998371531265843,320618
2.0,0.75,0.001092600861117378,1.213887702143435,1.213887702143435,271462
2.0,0.75,0.0012663801734674022,1.226545418905695,1.226545418905695,229085
2.0,0.75,0.0014677992676220691,1.2399817308891201,1.2399817308891201,193061
2.0,0.75,0.0017012542798525892,1.2544142128561713,1.2544142128561713,162472
2.0,0.75,0.001971840556512642,1.271540996861107,1.271540996861107,136676
2.0,0.75,0.0022854638641349886,1.2886157384854329,1.2886157384854329,114654
2.0,0.75,0.0026489692876105267,1.3027884000621535,1.3027884000621535,95740
2.0,0.75,0.00307029062975785,1.323228563686052,1.323228563686052,80114
2.0,0.75,0.0035586235730509655,1.3393664480648695,1.3393664480648695,66622
2.0,0.75,0.004124626382901348,1.362814636321699,1.362814636321699,55540
2.0,0.75,0.00478065253300738,1.3861927079324758,1.3861927079324758,46124
